ENSG00000000001	GENE1	Gene Expression
ENSG00000000002	GENE2	Gene Expression
ENSG00000000003	GENE3	Gene Expression
ENSG00000000004	GENE4	Gene Expression
ENSG00000000005	GENE5	Gene Expression
ENSG00000000006	GENE6	Gene Expression
ENSG00000000007	GENE7	Gene Expression
ENSG00000000008	GENE8	Gene Expression
ENSG00000000009	GENE9	Gene Expression
ENSG00000000010	GENE10	Gene Expression
ENSG00000000011	GENE11	Gene Expression
ENSG00000000012	GENE12	Gene Expression
ENSG00000000013	GENE13	Gene Expression
ENSG00000000014	GENE14	Gene Expression
ENSG00000000015	GENE15	Gene Expression
ENSG00000000016	GENE16	Gene Expression
ENSG00000000017	GENE17	Gene Expression
ENSG00000000018	GENE18	Gene Expression
ENSG00000000019	GENE19	Gene Expression
ENSG00000000020	GENE20	Gene Expression
ENSG00000000021	GENE21	Gene Expression
ENSG00000000022	GENE22	Gene Expression
ENSG00000000023	GENE23	Gene Expression
ENSG00000000024	GENE24	Gene Expression
ENSG00000000025	GENE25	Gene Expression
ENSG00000000026	GENE26	Gene Expression
ENSG00000000027	GENE27	Gene Expression
ENSG00000000028	GENE28	Gene Expression
ENSG00000000029	GENE29	Gene Expression
ENSG00000000030	GENE30	Gene Expression
ENSG00000000031	GENE31	Gene Expression
ENSG00000000032	GENE32	Gene Expression
ENSG00000000033	GENE33	Gene Expression
ENSG00000000034	GENE34	Gene Expression
ENSG00000000035	GENE35	Gene Expression
ENSG00000000036	GENE36	Gene Expression
ENSG00000000037	GENE37	Gene Expression
ENSG00000000038	GENE38	Gene Expression
ENSG00000000039	GENE39	Gene Expression
ENSG00000000040	GENE40	Gene Expression
ENSG00000000041	GENE41	Gene Expression
ENSG00000000042	GENE42	Gene Expression
ENSG00000000043	GENE43	Gene Expression
ENSG00000000044	GENE44	Gene Expression
ENSG00000000045	GENE45	Gene Expression
ENSG00000000046	GENE46	Gene Expression
ENSG00000000047	GENE47	Gene Expression
ENSG00000000048	GENE48	Gene Expression
ENSG00000000049	GENE49	Gene Expression
ENSG00000000050	GENE50	Gene Expression
